DangKyID,HocVienID,LopID,Target_BoHoc,TyLeChuyenCan_NuaDau,SoBuoiVang_NuaDau,SoBuoiVangDau,DiemGiuaKy,KetQuaGiuaKy,SoNgayDangKySom,TuoiHocVien,KhoaHocID,GiangVienID,DiaDiemID
15193,9001,158,0,0.8,2,1,9.1,1,14,26,2,2,11
16246,9744,195,1,0.533333,7,1,9.4,1,18,27,5,10,9
18035,8553,256,1,0.6,6,1,3.3,0,16,25,5,1,9
16294,8424,198,0,0.866666,2,0,8.8,1,20,27,5,3,14
16501,9268,205,0,0.833333,2,0,3.4,0,15,17,4,1,7
18067,8773,258,0,1,0,0,4.5,0,21,26,3,2,12
16841,8728,218,0,0.9,1,0,4.3,0,15,26,2,8,11
17671,9313,245,0,0.866666,2,0,7.6,1,13,21,5,10,11
17787,9029,246,0,1,0,0,5.4,1,17,19,1,9,16
16782,8040,216,0,0.933333,1,0,7.3,1,11,18,5,9,4
17413,8734,234,0,0.666666,4,1,6.6,1,19,25,3,6,16
18069,8151,258,0,0.916666,1,0,8.8,1,7,29,3,2,12
17056,8505,224,0,0.833333,2,1,7.5,1,9,24,3,7,16
16995,8789,223,0,0.666666,4,1,7,1,29,20,3,2,5
16342,8223,199,0,0.8,2,1,8.1,1,14,14,1,10,2
15150,8485,157,1,0.75,3,0,5.5,1,8,19,3,7,13
16563,8665,208,0,1,0,0,9,1,2,25,2,7,6
17365,8207,234,0,1,0,0,3.9,0,8,19,3,6,16
15257,9032,161,0,0.8,3,1,9.7,1,26,27,5,8,3
18203,8390,263,0,0.833333,2,1,5.1,1,3,30,4,5,11
17372,8290,234,0,1,0,0,3.8,0,20,21,3,6,16
15948,8183,188,1,0.8,3,0,6,1,27,24,5,5,2
18795,8641,285,1,0.8,2,1,5.4,1,19,14,2,4,13
16280,9425,197,0,0.933333,1,0,5.8,1,14,26,5,10,10
16644,8761,212,0,0.833333,2,0,7.9,1,17,17,4,3,5
18922,9750,288,0,0.916666,1,1,8.1,1,16,26,4,3,16
15277,8126,162,0,0.9,1,0,3.7,0,4,17,1,4,4
15865,8081,185,0,0.916666,1,1,6.3,1,1,29,3,9,5
19031,8502,292,0,1,0,0,9.7,1,18,15,4,3,4
15230,8960,160,0,0.9,1,1,4.8,0,22,29,1,10,8
15404,9318,165,0,0.916666,1,0,3.6,0,9,30,3,1,6
15160,8402,157,0,0.833333,2,1,4.3,0,20,21,3,7,13
15837,8110,183,0,0.916666,1,0,9.8,1,11,18,3,2,1
17949,8255,252,0,0.866666,2,1,6.6,1,22,16,5,7,4
15254,8493,161,0,0.933333,1,0,9.8,1,14,23,5,8,3
18254,9078,265,0,1,0,0,8.7,1,8,27,3,6,4
15907,9557,187,0,0.916666,1,1,5.5,1,20,22,4,4,11
17119,9750,225,0,0.916666,1,0,9.6,1,17,28,4,9,8
17785,9473,246,0,0.9,1,0,7.4,1,9,17,1,9,16
19241,8226,300,0,0.9,1,1,5.6,1,6,27,2,1,2
15449,9621,167,0,0.8,2,0,8.1,1,14,25,2,7,12
18469,9299,271,0,0.9,1,0,6.8,1,26,18,2,5,13
15855,8904,184,1,0.75,3,0,8.1,1,25,17,3,3,4
18960,8578,289,0,0.9,1,1,3.3,0,14,30,2,7,12
19211,8724,299,1,0.7,3,1,3.1,0,24,19,1,3,5
16473,9659,204,0,1,0,0,3.6,0,10,29,2,3,2
18253,8805,265,0,0.916666,1,0,3.2,0,15,26,3,6,4
18957,8110,289,0,1,0,0,4.8,0,19,19,2,7,12
18980,9336,290,0,1,0,0,4.5,0,13,22,1,2,5
15532,9645,170,0,0.8,2,1,6,1,2,17,2,3,1
16237,8310,195,0,1,0,0,8.1,1,23,26,5,10,9
18873,8850,288,0,1,0,0,9.2,1,17,23,4,3,16
18653,9942,279,0,0.933333,1,0,8.5,1,29,21,5,2,10
18255,8876,265,0,0.916666,1,1,5.9,1,3,23,3,6,4
15474,9603,168,0,1,0,0,8,1,13,15,3,5,9
18480,8927,272,0,1,0,0,9.7,1,10,19,1,7,6
15243,9927,161,0,0.8,3,0,8.3,1,19,21,5,8,3
15026,8590,152,0,0.933333,1,0,3.8,0,6,22,5,1,11
15867,9693,185,1,0.75,3,0,8.7,1,17,26,3,9,5
16434,9741,203,0,0.833333,2,0,8.7,1,2,17,3,8,10
15926,9113,187,0,0.833333,2,0,8.8,1,14,18,4,4,11
15264,8049,161,0,0.933333,1,0,9.6,1,29,27,5,8,3
15587,8621,172,0,0.9,1,0,3.7,0,11,24,1,3,12
17249,9633,230,0,0.916666,1,0,5,1,14,24,3,4,11
15910,9196,187,0,0.916666,1,1,3.9,0,2,17,4,4,11
18987,8809,290,0,1,0,0,4.4,0,25,20,1,2,5
16834,9888,217,1,0.6,4,0,6.4,1,12,17,2,7,13
19122,8427,296,0,0.9,1,1,4.7,0,7,26,1,3,15
15489,8578,169,0,0.916666,1,0,3.4,0,24,29,4,10,2
18690,8208,281,0,0.833333,2,0,9.6,1,8,15,3,2,4
18295,8402,266,0,1,0,0,7.8,1,27,22,1,2,7
18392,9992,268,1,0.7,3,1,3.1,0,15,14,1,4,16
17335,8059,233,0,0.916666,1,0,9.7,1,5,19,4,5,4
18958,9359,289,1,0.7,3,1,4.8,0,21,16,2,7,12
18440,9310,270,0,0.9,1,0,4.2,0,17,25,1,2,12
16541,8434,207,0,0.9,1,1,8.7,1,21,17,2,8,7
16057,8236,189,0,0.8,2,1,8,1,15,20,1,1,16
17470,8503,236,0,0.833333,2,0,8.8,1,23,27,4,10,6
16634,8464,212,0,0.75,3,0,7.3,1,27,15,4,3,5
15747,8144,181,0,0.916666,1,0,5.2,1,16,26,4,2,3
19112,8172,295,0,0.833333,2,0,9.1,1,13,21,3,7,15
18025,9417,256,0,0.866666,2,0,6,1,12,26,5,1,9
15846,8816,184,0,1,0,0,7.3,1,23,21,3,3,4
16500,9534,205,0,1,0,0,6,1,11,23,4,1,7
17719,9936,246,1,0.8,2,0,5.8,1,29,24,1,9,16
18986,9792,290,0,1,0,0,7.3,1,22,27,1,2,5
15792,8494,182,0,0.916666,1,1,5.5,1,13,16,4,3,10
17847,8164,248,0,0.916666,1,0,3.5,0,17,19,4,5,4
19263,9725,301,0,0.8,2,0,6.6,1,12,27,2,1,14
18535,8411,274,0,0.933333,1,1,6.1,1,19,20,5,4,11
15336,8998,163,0,1,0,0,9.6,1,11,20,2,1,16
15931,9925,187,0,1,0,0,7.5,1,25,22,4,4,11
16683,8810,214,0,1,0,0,8.4,1,19,22,1,7,16
15518,9212,169,0,0.916666,1,0,6.5,1,20,14,4,10,2
16054,9397,189,0,0.7,3,1,7.5,1,18,20,1,1,16
18639,9236,278,0,1,0,0,8.4,1,3,21,1,4,2
17176,8885,227,0,1,0,0,4.1,0,3,21,2,3,5
15606,9202,174,1,0.7,3,0,8.1,1,9,15,1,8,5
17456,9528,235,0,0.9,1,0,4.6,0,11,16,1,4,12
18963,8281,289,0,1,0,0,7.5,1,20,17,2,7,12
17725,8668,246,0,1,0,0,10,1,21,26,1,9,16
15833,8129,183,0,0.75,3,2,8.1,1,13,21,3,2,1
16964,9984,221,0,0.833333,2,0,6.5,1,16,22,4,3,6
17512,9915,238,0,1,0,0,6,1,8,19,4,3,9
16923,8758,220,0,0.833333,2,0,6.8,1,25,24,4,6,11
17587,9650,242,0,1,0,0,4.9,0,11,27,3,9,3
16539,8410,207,0,0.7,3,1,9.7,1,16,19,2,8,7
18503,9751,272,1,0.7,3,0,3.5,0,19,16,1,7,6
16635,9383,212,0,1,0,0,4.5,0,10,28,4,3,5
